,CD14+_Monocytes,CD4_T_cells,FCGR3A+_Monocytes,NK_cells,Dendritic_cells,CD8_T_cells,B_cells_1,B_cells_2
RIPOR1,515.1231,152.20792,99.6019,26.006687,57.167778,0.0,382.02863,22.94952
AC027682.2,16.713902,0.0,0.0,0.0,3.370031,0.0,0.0,0.0
AC027682.4,54.56025,276.21313,5.56042,17.627222,11.807182,41.08961,72.61506,3.5749655
AC027682.1,0.0,73.303375,0.0,0.0,0.0,0.0,0.0,0.0
CTCF,1178.4218,2541.6565,260.0988,207.12173,104.34656,454.6931,362.53165,38.08338
CARMIL2,3.6519592,789.17975,0.0,6.708301,8.148042,103.70522,97.67786,2.6093397
ACD,55.869553,459.52948,40.879375,70.237625,20.530308,89.51168,83.82051,2.4508476
PARD6A,5.630511,82.21837,0.0,16.471977,0.0,42.06832,0.0,0.0
ENKD1,68.29139,76.40101,0.0,0.0,2.3421166,12.038396,14.160522,0.0
C16orf86,32.70812,89.70401,0.0,0.0,0.0,8.143001,31.565792,2.291185
GFOD2,146.12933,395.2315,13.819931,21.621548,39.284054,39.417877,39.23406,11.160133
RANBP10,585.5344,815.96063,46.180836,12.167068,38.09423,105.058556,198.25238,22.59021
AC010530.1,4.802699,9.599439,0.0,0.0,7.6585655,0.0,5.0497446,0.0
TSNAXIP1,0.0,26.9445,0.0,0.0,0.0,0.0,2.3910584,2.3910584
CENPT,180.05157,660.34216,40.697144,36.100796,40.52549,99.15513,63.34837,3.8305392
THAP11,129.33678,1045.5,80.840614,162.38576,32.421665,245.38852,91.885185,0.8867993
